category_name,category_group
SPICED RUM,Rum
COCKTAILS/RTD,Ready to Drink
IMPORTED VODKAS,Vodka
WHITE CREME DE CACAO,Other
WHITE CREME DE MENTHE,Other
ROOT BEER SCHNAPPS,Schnapps
IMPORTED GINS,Gin
GOLD RUM,Rum
IRISH WHISKIES,Whiskey
MIXTO TEQUILA,Tequila
WHITE RUM,Rum
IMPORTED CORDIALS & LIQUEURS,Liqueur
TENNESSEE WHISKIES,Whiskey
NEUTRAL GRAIN SPIRITS,Neutral Spirits
IMPORTED GRAPE BRANDIES,Other
OTHER PROOF VODKA,Vodka
TROPICAL FRUIT SCHNAPPS,Schnapps
DELISTED / SPECIAL ORDER ITEMS,Delisted
BLENDED WHISKIES,Whiskey
AMERICAN BRANDIES,Other
LOW PROOF VODKA,Vodka
AMERICAN AMARETTO,Specialty
HIGH PROOF BEER - AMERICAN,Beer
PUERTO RICO & VIRGIN ISLANDS RUM,Rum
MISC. IMPORTED CORDIALS & LIQUEURS,Liqueur
APRICOT BRANDIES,Other
BLACKBERRY BRANDIES,Other
GREEN CREME DE MENTHE,Other
CREME DE ALMOND,Other
AMERICAN WHISKIES,Whiskey
FLAVORED RUM,Rum
WHISKEY LIQUEUR,Whiskey
IMPORTED SCHNAPPS,Schnapps
100% AGAVE TEQUILA,Tequila
MISC. AMERICAN CORDIALS & LIQUEURS,Liqueur
AMERICAN SLOE GINS,Gin
STRAWBERRY SCHNAPPS,Schnapps
CANADIAN WHISKIES,Whiskey
AGED DARK RUM,Rum
DELISTED ITEMS,Delisted
IMPORTED WHISKIES,Whiskey
SCOTCH WHISKIES,Whiskey
AMERICAN DRY GINS,Gin
FLAVORED GIN,Gin
SINGLE BARREL BOURBON WHISKIES,Whiskey
JAMAICA RUM,Rum
ANISETTE,Specialty
AMARETTO - IMPORTED,Specialty
IMPORTED VODKA - CHERRY,Vodka
IMPORTED FLAVORED VODKA,Vodka
